scenario_id,scenario_label,season,week,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,is_active_pid,is_active_nm,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,points_scale,vol_scale,yds_scale,td_scale
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Eric Saubert,TE,00-0033576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Nick Kallerup,TE,00-0040058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Cooper Kupp,WR,00-0033908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.170582749314498,4.763949749544571,41.56516516912834,0.39986298546657456,0.3295881040837668,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Dareke Young,WR,00-0037093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Jake Bobo,WR,00-0038752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Jaxon Smith-Njigba,WR,00-0038543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.518036249090084,6.647830499364473,57.778527469142944,0.5168960543836209,0.4036312256679204,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Rashid Shaheed,WR,00-0037545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.783676249542684,3.0477442497086384,28.00489851820704,0.2535716493202668,0.22397585866905634,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_cold_minus15,Temp -15F,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Drake Maye,QB,00-0039851,1.0,32.86476429370004,186.88557412862843,1.246527406583774,0.6819664241597811,8.404233285969068,23.586525198833343,0.19100016713783635,0.0,0.0,0.0,0.0,0.17386754992680797,1.0,1.0,72.208209616918,32.13265327952851,37.879223294874905,180.36164162682348,138.6084736152717,1.4226975960104196,0.8453163435181273,0.8009704918032785,1.0052640375675597,1.0028918002349723,1.0036819233546104,1.0052640375675597
v2_cold_minus15,Temp -15F,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Rhamondre Stevenson,RB,00-0036875,1.0,0.0,0.0,0.0,0.0,18.944626106438626,55.603978553845415,0.5126846591594555,4.011567200939889,2.677721106627376,14.45301969630639,0.18094752676216072,0.5002424438827915,1.0,1.0,72.208209616918,32.13265327952851,37.879223294874905,180.36164162682348,138.6084736152717,1.4226975960104196,0.8453163435181273,0.8009704918032785,1.0052640375675597,1.0028918002349723,1.0036819233546104,1.0052640375675597
v2_cold_minus15,Temp -15F,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,TreVeyon Henderson,RB,00-0040734,1.0,0.0,0.0,0.0,0.0,10.530363902467208,31.71634877800569,0.18094752676216072,2.497200582585081,1.7650895684135512,10.036819233546105,0.11057904413243157,0.252877838364975,1.0,1.0,72.208209616918,32.13265327952851,37.879223294874905,180.36164162682348,138.6084736152717,1.4226975960104196,0.8453163435181273,0.8009704918032785,1.0052640375675597,1.0028918002349723,1.0036819233546104,1.0052640375675597
