scenario_id,scenario_label,season,week,date,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Dak Prescott,QB,00-0033077,1.0,40.68,242.3,2.05,0.96,2.41,7.2,0.06,0.0,0.0,0.0,0.0,0.05823546641575128,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Javonte Williams,RB,00-0036997,1.0,0.0,0.0,0.0,0.0,13.88,48.6,0.4,5.07,3.1,18.3,0.27,0.48829142221345756,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Malik Davis,RB,00-0037563,1.0,0.0,0.0,0.0,0.0,7.71,29.6,0.13,3.16,1.86,14.5,0.16,0.25173643242143484,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Brevyn Spann-Ford,TE,00-0039530,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Jake Ferguson,TE,00-0038041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76,6.34,41.6,0.43,0.3494909052766835,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,John Stephens Jr.,TE,00-0038741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,0.0,0.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Luke Schoonmaker,TE,00-0038547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,2.83,22.4,0.21,0.18941575402981292,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,CeeDee Lamb,WR,00-0036358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,6.14,48.0,0.51,0.3995044211877341,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,George Pickens,WR,00-0037247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91,4.14,35.2,0.38,0.31613859078764417,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_DAL_DET,Dallas Cowboys,Jonathan Mingo,WR,00-0039062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,45.21,24.0,284.3,98.3,2.326900329844864,0.5536654524512739,1.1302551374134937,1.0,1.0,1.0,1.0,1.0,1.0
