player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Dallas Goedert,PHI,Receptions,4.0,-190.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,6.26,2.26,0.4636379967471278,,,2.26
Wan'dale Robinson,NYG,Receptions,5.0,-170.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,2.24,0.5208348642620421,,,2.24
Saquon Barkley,PHI,Receptions,6.0,850.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,receptions,3.83,-2.17,-0.5484096415078462,,,2.17
Theo Johnson,NYG,Receptions,3.0,-450.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,2.17,0.16412287785481072,,,2.17
DeVonta Smith,PHI,Receptions,4.0,-325.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.03,2.0300000000000002,0.23027904392555626,,,2.0300000000000002
DeVonta Smith,PHI,Receptions,8.0,400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.03,-1.9699999999999998,-0.6758124221263075,,,1.9699999999999998
Saquon Barkley,PHI,Receptions,2.0,-300.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,receptions,3.83,1.83,0.22718519961109424,,,1.83
Theo Johnson,NYG,Receptions,7.0,400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,-1.83,-0.6019444985416036,,,1.83
Wan'dale Robinson,NYG,Receptions,9.0,700.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,-1.7599999999999998,-0.2968581384511757,,,1.7599999999999998
Dallas Goedert,PHI,Receptions,8.0,700.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,6.26,-1.7400000000000002,-0.2770158798172755,,,1.7400000000000002
AJ Brown,PHI,Receptions,5.0,-150.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,1.7199999999999998,0.5118251682264,,,1.7199999999999998
